datum,infected_daily ,Infected,recovered_daily,Recovered,pocinati,Death,active,
2020-02-26,1,1,0,0,0,0,1,
2020-02-27,0,1,0,0,0,0,1,
2020-02-28,0,1,0,0,0,0,1,
2020-02-29,0,1,0,0,0,0,1,
2020-03-01,0,1,0,0,0,0,1,
2020-03-02,0,1,0,0,0,0,1,
2020-03-03,0,1,0,0,0,0,1,
2020-03-04,0,1,0,0,0,0,1,
2020-03-05,0,1,0,0,0,0,1,
2020-03-06,2,3,0,0,0,0,3,
2020-03-07,0,3,0,0,0,0,3,
2020-03-08,1,4,0,0,0,0,4,
2020-03-09,3,7,0,0,0,0,7,
2020-03-10,0,7,0,0,0,0,7,
2020-03-11,1,8,0,0,0,0,8,
2020-03-12,0,8,0,0,0,0,8,
2020-03-13,4,12,0,0,0,0,12,
2020-03-14,6,18,0,0,0,0,18,
2020-03-15,0,18,0,0,0,0,18,
2020-03-16,5,23,0,0,0,0,23,
2020-03-17,8,31,1,1,0,0,30,
2020-03-18,11,42,0,1,0,0,41,
2020-03-19,6,48,0,1,0,0,47,
2020-03-20,28,76,0,1,0,0,75,
2020-03-21,9,85,0,1,0,0,84,
2020-03-22,29,114,0,1,1,1,112,
2020-03-23,22,136,0,1,1,2,133,
2020-03-24,12,148,0,1,0,2,145,
2020-03-25,29,177,0,1,1,3,173,
2020-03-26,24,201,2,3,0,3,195,
2020-03-27,18,219,0,3,0,3,213,
2020-03-28,22,241,0,3,1,4,234,
2020-03-29,18,259,0,3,2,6,250,
2020-03-30,26,285,9,12,1,7,266,
2020-03-31,44,329,0,12,2,9,308,
2020-04-01,25,354,5,17,2,11,326,
2020-04-02,30,384,0,17,0,11,356,
2020-04-03,46,430,3,20,1,12,398,
2020-04-04,53,483,0,20,5,17,446,
2020-04-05,72,555,3,23,1,18,514,
2020-04-06,15,570,7,30,3,21,519,
2020-04-07,29,599,0,30,5,26,543,
2020-04-08,18,617,5,35,3,29,553,
2020-04-09,46,663,2,37,1,30,596,
2020-04-10,48,711,4,41,2,32,638,
2020-04-11,49,760,0,41,2,34,685,
2020-04-12,68,828,0,41,0,34,753,
2020-04-13,26,854,3,44,4,38,772,
2020-04-14,54,908,42,86,6,44,778,
2020-04-15,66,974,12,98,1,45,831,
2020-04-16,104,1078,23,121,1,46,911,
2020-04-17,36,1114,18,139,3,49,926,
2020-04-18,53,1167,25,164,0,49,954,
2020-04-19,37,1204,15,179,2,51,974,
2020-04-20,18,1222,21,200,3,54,968,
2020-04-21,6,1228,24,224,1,55,949,
2020-04-22,28,1256,48,272,1,56,928,
2020-04-23,41,1297,29,301,0,56,940,
2020-04-24,26,1323,36,337,1,57,929,
2020-04-25,41,1364,37,374,2,59,931,
2020-04-26,19,1383,126,500,2,61,822,
2020-04-27,13,1396,53,553,4,65,778,
2020-04-28,22,1418,36,589,6,71,758,
2020-04-29,21,1439,38,627,2,73,739,
2020-04-30,23,1462,111,738,4,77,647,
2020-05-01,29,1491,69,807,4,81,603,
2020-05-02,15,1506,45,852,1,82,572,
2020-05-03,5,1511,95,947,2,84,480,
